Rudy =====> score = 50 | floor = 5
Rudy =====> score = 74 | floor = 6
Rudy =====> score = 107 | floor = 8
Rudy =====> score = 38 | floor = 4
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 23 | floor = 3
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
Rudy =====> score = 11 | floor = 2
